2:101:12, metal:871191, crystal:387435, deut:196125
2:101:7, metal:970406, crystal:562017, deut:290122
2:101:4, metal:861504, crystal:437925, deut:231893
2:124:14, metal:866884, crystal:345043, deut:202534
2:143:14, metal:852940, crystal:426472, deut:85290
2:159:1, metal:1123356, crystal:504679, deut:226011
2:168:6, metal:755285, crystal:434297, deut:227895
2:176:7, metal:517274, crystal:228723, deut:44905
2:180:14, metal:1041294, crystal:527696, deut:255934
2:222:14, metal:479833, crystal:228039, deut:43145
5:136:5, metal:631565, crystal:315782, deut:63906
5:135:12, metal:632677, crystal:316339, deut:64018
5:135:7, metal:698310, crystal:349160, deut:70582
5:135:4, metal:698738, crystal:349370, deut:70623
5:134:5, metal:633622, crystal:316813, deut:64112
